instance_N200_OPT221.inst: cost=221, opt=221, ratio=1.0000
instance_N200_OPT286.inst: cost=370, opt=286, ratio=1.2937
instance_N200_OPT347.inst: cost=357, opt=347, ratio=1.0288
instance_N200_OPT5166.inst: cost=6628, opt=5166, ratio=1.2830
instance_N200_OPT5266.inst: cost=7203, opt=5266, ratio=1.3678
instance_N200_OPT5298.inst: cost=6521, opt=5298, ratio=1.2308
instance_N250_OPT134.inst: cost=134, opt=134, ratio=1.0000
instance_N250_OPT4262.inst: cost=5500, opt=4262, ratio=1.2905
instance_N300_OPT246.inst: cost=270, opt=246, ratio=1.0976
instance_N300_OPT337.inst: cost=337, opt=337, ratio=1.0000
instance_N300_OPT394.inst: cost=394, opt=394, ratio=1.0000
instance_N300_OPT5645.inst: cost=7544, opt=5645, ratio=1.3364
instance_N300_OPT6260.inst: cost=7548, opt=6260, ratio=1.2058
instance_N300_OPT7236.inst: cost=10093, opt=7236, ratio=1.3948
instance_N350_OPT277.inst: cost=277, opt=277, ratio=1.0000
instance_N350_OPT5552.inst: cost=7947, opt=5552, ratio=1.4314
instance_N400_OPT3683.inst: cost=5668, opt=3683, ratio=1.5390
instance_N400_OPT3717.inst: cost=5285, opt=3717, ratio=1.4218
instance_N400_OPT377.inst: cost=377, opt=377, ratio=1.0000
instance_N400_OPT398.inst: cost=398, opt=398, ratio=1.0000

mean_ratio: 1.1961  ci95: [1.1152, 1.2769]
