instance_N200_OPT221.inst: cost=279, opt=221, ratio=1.2624
instance_N200_OPT286.inst: cost=544, opt=286, ratio=1.9021
instance_N200_OPT347.inst: cost=675, opt=347, ratio=1.9452
instance_N200_OPT5166.inst: cost=6569, opt=5166, ratio=1.2716
instance_N200_OPT5266.inst: cost=5581, opt=5266, ratio=1.0598
instance_N200_OPT5298.inst: cost=6010, opt=5298, ratio=1.1344
instance_N250_OPT134.inst: cost=180, opt=134, ratio=1.3433
instance_N250_OPT4262.inst: cost=5850, opt=4262, ratio=1.3726
instance_N300_OPT246.inst: cost=420, opt=246, ratio=1.7073
instance_N300_OPT337.inst: cost=473, opt=337, ratio=1.4036
instance_N300_OPT394.inst: cost=630, opt=394, ratio=1.5990
instance_N300_OPT5645.inst: cost=8045, opt=5645, ratio=1.4252
instance_N300_OPT6260.inst: cost=6535, opt=6260, ratio=1.0439
instance_N300_OPT7236.inst: cost=10961, opt=7236, ratio=1.5148
instance_N350_OPT277.inst: cost=459, opt=277, ratio=1.6570
instance_N350_OPT5552.inst: cost=7976, opt=5552, ratio=1.4366
instance_N400_OPT3683.inst: cost=5233, opt=3683, ratio=1.4209
instance_N400_OPT3717.inst: cost=5873, opt=3717, ratio=1.5800
instance_N400_OPT377.inst: cost=537, opt=377, ratio=1.4244
instance_N400_OPT398.inst: cost=694, opt=398, ratio=1.7437

mean_ratio: 1.4624  ci95: [1.3527, 1.5721]
